,(,),*,+,",",-,;,<,=,[,],ID,EOF,if,int,NUM,==,return,else,void,while,{,},$,declaration,params,compound_stmt,declaration_list,expression_stmt,fun_declaration,statement,selection_stmt,iteration_stmt,var,simple_expression,local_declarations,term,addop,relop,program,additive_expression,return_stmt,statement_list,type_specifier,factor,var_declaration,param,expression,param_list,call,args,arg_list
0,,,,,,,,,,,,,,,s7,,,,,s8,,,,,1,,,2,,3,,,,,,,,,,4,,,,5,,6,,,,,,
1,,,,,,,,,,,,,r3,,r3,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,s10,,s7,,,,,s8,,,,,9,,,,,3,,,,,,,,,,,,,,5,,6,,,,,,
3,,,,,,,,,,,,,r5,,r5,,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,r4,,r4,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,r2,,r2,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,s12,,,,,,s13,,,s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,s7,,,,,s19,,,,,,15,,,,,,,,,,,,,,,,,,16,,,17,,18,,,
13,r6,,,,,,r6,,,,,r6,r6,r6,r6,r6,,r6,,r6,r6,r6,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,s20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,s21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,r14,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,r11,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,r12,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,s24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,s26,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
22,,r15,,,r15,,,,,s27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,s7,,,,,s8,,,,,,,,,,,,,,,,,,,,,,,,16,,,28,,,,,
24,,,,,,,s29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,r10,,r10,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
